Entity,Code,Day,facial_coverings,,
Afghanistan,AFG,1/1/20,0,,
Afghanistan,AFG,2/1/20,0,,
Afghanistan,AFG,3/1/20,0,,
Afghanistan,AFG,4/1/20,0,,
Afghanistan,AFG,5/1/20,0,,
Afghanistan,AFG,6/1/20,0,,read csv1
Afghanistan,AFG,7/1/20,0,,read csv2
Afghanistan,AFG,8/1/20,0,,average face covering per month from csv facecovering
Afghanistan,AFG,9/1/20,0,,average new cases per month from covid data
Afghanistan,AFG,10/1/20,0,,merge csv 1 and 2 based on location and date
Afghanistan,AFG,11/1/20,0,,drop the empty data
Afghanistan,AFG,12/1/20,0,,
Afghanistan,AFG,13/1/20,0,,
Afghanistan,AFG,14/1/20,0,,
Afghanistan,AFG,15/1/20,0,,
Afghanistan,AFG,16/1/20,0,,
Afghanistan,AFG,17/1/20,0,,
Afghanistan,AFG,18/1/20,0,,
Afghanistan,AFG,19/1/20,0,,
Afghanistan,AFG,20/1/20,0,,
Afghanistan,AFG,21/1/20,0,,
Afghanistan,AFG,22/1/20,0,,
Afghanistan,AFG,23/1/20,0,,
Afghanistan,AFG,24/1/20,0,,
Afghanistan,AFG,25/1/20,0,,
Afghanistan,AFG,26/1/20,0,,
Afghanistan,AFG,27/1/20,0,,
Afghanistan,AFG,28/1/20,0,,
Afghanistan,AFG,29/1/20,0,,
Afghanistan,AFG,30/1/20,0,,
Afghanistan,AFG,31/1/20,0,,
Afghanistan,AFG,1/2/20,0,,
Afghanistan,AFG,2/2/20,0,,
Afghanistan,AFG,3/2/20,0,,
Afghanistan,AFG,4/2/20,0,,
Afghanistan,AFG,5/2/20,0,,
Afghanistan,AFG,6/2/20,0,,
Afghanistan,AFG,7/2/20,0,,
Afghanistan,AFG,8/2/20,0,,
Afghanistan,AFG,9/2/20,0,,
Afghanistan,AFG,10/2/20,0,,
Afghanistan,AFG,11/2/20,0,,
Afghanistan,AFG,12/2/20,0,,
Afghanistan,AFG,13/2/20,0,,
Afghanistan,AFG,14/2/20,0,,
Afghanistan,AFG,15/2/20,0,,
Afghanistan,AFG,16/2/20,0,,
Afghanistan,AFG,17/2/20,0,,
